feature,importance,std
abundance_zscore_3,0.0011239699862947326,0.014204559981186004
order_Fusobacteriia_sum,0.0011224073660006048,0.012665423172750274
family_Desulfobacterales_mean,0.0011124925713428958,0.013358014140610166
abundance_zscore_38,0.0011049640531365184,0.013280724873959659
species_Acidaminococcus_sum,0.0011046129026840404,0.013824357694923461
species_Ezakiella_sum,0.0011031236351749221,0.013592354524487125
family_Clostridiales_std,0.0011025030900107468,0.011615909186094944
abundance_103,0.0010987589206083255,0.012013559817915373
abundance_zscore_80,0.0010983875216072766,0.014125855937896808
order_Clostridia_sum,0.0010920973917882635,0.01088798787038386
abundance_rel_median_25,0.0010910940024513119,0.013080696575093672
simpson_family,0.0010899061670354116,0.011619736832044782
species_Barnesiella_std,0.001087934325959211,0.012197875781209084
species_Anaerofilum_mean,0.0010829468049946016,0.01614889384639635
genus_Corynebacteriaceae_ratio,0.0010821877927167935,0.011321718049374275
species_Coprobacter_ratio,0.0010818069534722881,0.013068711189760534
order_Gammaproteobacteria_sum,0.0010808564273171984,0.012178286576100358
genus_Rikenellaceae_std,0.0010779163248800514,0.012796629732291101
species_Fusicatenibacter_sum,0.0010744424171137672,0.013923281074018438
species_Varibaculum_mean,0.0010725171687232906,0.013888756297481873
abundance_rel_median_147,0.0010707365351457388,0.013201669422291864
order_Alphaproteobacteria_std,0.0010666305389352606,0.011710876531387394
abundance_zscore_113,0.0010640410760236832,0.013152515281826075
genus_Sutterellaceae_std,0.0010621305302388707,0.01266895355567675
family_Clostridiales_mean,0.0010586242586431557,0.013149727938038855
abundance_148,0.0010569925902667104,0.01300077714645982
species_Porphyromonas_ratio,0.0010568873114057528,0.012233051862298429
class_Fusobacteria_sum,0.0010564526036997857,0.012422514957652134
abundance_rel_median_92,0.0010546536026608184,0.012912200164263072
family_Coriobacteriales_mean,0.0010543648798558023,0.012018594073160343
species_Anaerotruncus_std,0.001054279066927076,0.011916384281616154
abundance_rel_median_123,0.0010531680595491908,0.012986771261585475
family_Acidaminococcales_mean,0.0010524948651660536,0.01421512575160527
species_Bifidobacterium_mean,0.0010522286815210944,0.012078852860213828
genus_Clostridiales_Family_XIII._Incertae_Sedis_std,0.0010460475056057368,0.012331365612322454
order_Epsilonproteobacteria_std,0.0010457546750405053,0.013577440839575147
genus_Aerococcaceae_median,0.0010416136817754512,0.014400631480174403
species_Porphyromonas_mean,0.001041427228755349,0.012868275302802677
order_Negativicutes_std,0.0010379314076770503,0.01207784675099544
abundance_zscore_96,0.0010293414671232613,0.012639441486986841
top_5_abundance_order,0.001028052667492553,0.01197329613980948
species_Casaltella_mean,0.0010267420513180633,0.013258769286367007
species_Roseburia_ratio,0.001018414429120426,0.01192898137869727
abundance_zscore_100,0.0010155794369207183,0.012614872487519876
order_Erysipelotrichia_std,0.0010153311602484122,0.012950915497928967
simpson_ratio_genus,0.0010128967865525515,0.012407077451859443
genus_Eggerthellaceae_ratio,0.0010110519227817419,0.011785657811799119
family_Desulfobacterales_ratio,0.001006814802502357,0.012730319071489627
abundance_zscore_29,0.0010065225324996526,0.01082093599319974
genus_Clostridiaceae_std,0.0010044510756492201,0.012098340621809214
top_1_abundance_family,0.000998756363534996,0.01391227707660053
rarity_species_0.01,0.0009921636662388515,0.011024579665066668
class_Firmicutes_sum,0.0009912375114113502,0.011469681915941459
order_Fusobacteriia_mean,0.0009884592472600706,0.011962289199028893
genus_Oscillospiraceae_ratio,0.0009859711242881028,0.010939060818629559
abundance_rel_median_100,0.0009851207355056452,0.012381011169370633
order_Unknown_ratio,0.000982844341398872,0.01084822730402908
abundance_rel_median_44,0.000982115615465283,0.012580748516901793
abundance_rel_median_42,0.0009805539257765998,0.013376699507776701
species_Roseburia_median,0.000980108437857535,0.012847728000404238
genus_Lachnospiraceae_std,0.0009785267430456642,0.010864443729838726
species_Unknown_ratio,0.000977743413235789,0.01173834587935674
family_Actinomycetales_ratio,0.000977025748916031,0.011894667805694205
abundance_zscore_57,0.0009759660205189677,0.012404774138111058
abundance_15,0.0009743576918145809,0.012401014042190218
genus_Actinomycetaceae_mean,0.0009687457622992777,0.011302992680694814
family_Tissierellales_median,0.000967937628791329,0.012843682314704062
abundance_87,0.0009671539131579808,0.012291304734861685
species_Prevotella_std,0.0009666961846809428,0.009707153486702138
abundance_129,0.0009666672303086925,0.011584364006541146
species_Subdoligranulum_median,0.0009655506490551562,0.012790320053366475
abundance_rel_median_115,0.000965119842874363,0.01213190083834901
family_Rhodospirillales_mean,0.0009640610611622402,0.01224976079871039
abundance_rel_median_164,0.0009624627379132262,0.012307794840743042
abundance_zscore_132,0.0009622815865985098,0.011041669341534248
abundance_rel_median_149,0.000962056430980061,0.011554425468391904
species_Varibaculum_sum,0.0009591827106384777,0.011656249399678086
family_Actinomycetales_std,0.0009580432862222218,0.011562554235193256
genus_Hungateiclostridiaceae_sum,0.0009577855036510652,0.013655672545898147
abundance_rel_median_38,0.0009564157267749131,0.012054218301584442
abundance_86,0.0009531877304539571,0.012407190850337734
abundance_zscore_27,0.0009530782051446843,0.011716920973620069
