feature,importance
ratio_sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Maxillopoda;o__Calanoida;f__Centropagidae;g__Sinocalanus;s__Sinocalanus_sinensis_sk__Eukaryota;k__;p__;c__Cryptophyta;o__Pyrenomonadales;f__Geminigeraceae;g__Geminigera;s__Geminigera_cryophila,0.0015582502425477021
sk__Bacteria;k__;p__Chloroflexi;c__Anaerolineae,0.0015472622884198889
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae,0.001542289004720078
sk__Archaea;k__;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus_maritimus,0.0015416408984944537
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae,0.0015388156660536688
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Crocinitomicaceae,0.0015358645535275787
sk__Bacteria;k__;p__Candidatus_Peregrinibacteria;c__Candidatus_Peribacteria,0.001531563062867789
sk__Eukaryota;k__;p__;c__;o__Phaeocystales;f__Phaeocystaceae;g__Phaeocystis,0.001527839776554626
ratio_sk__Eukaryota;k__;p__;c__;o__Rotaliida_sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__gamma_proteobacterium_HIMB30,0.0015229072984459474
sk__Eukaryota;k__;p__;c__;o__;f__;g__Cryptocaryon,0.0015215902488224823
sk__Eukaryota;k__;p__;c__Dinophyceae;o__Gymnodiniales;f__Gymnodiniaceae;g__Cochlodinium,0.0015170669354218872
nonzero_features,0.0015153651282798653
sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Collembola,0.0015045497911508035
ratio_sk__Eukaryota;k__;p__;c__Spirotrichea;o__Tintinnida;f__Tintinnidae;g__Salpingella;s__Salpingella_sp._sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__gamma_proteobacterium_HIMB30,0.0014995532451451102
sk__Eukaryota;k__;p__;c__Dinophyceae;o__Peridiniales;f__Protoperidiniaceae,0.0014946448746017784
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus,0.0014935781715670698
sk__Eukaryota;k__;p__;c__;o__;f__Ebriidae;g__Ebria,0.0014876136279826733
sk__Eukaryota;k__Metazoa;p__Echinodermata;c__Ophiuroidea,0.0014773248953683406
sk__Bacteria;k__;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales,0.0014722881325418581
sk__Eukaryota;k__Metazoa;p__Chaetognatha;c__Sagittoidea;o__Aphragmophora;f__Sagittidae,0.0014722305590217
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudoruegeria,0.0014653860614752582
sk__Eukaryota;k__;p__;c__Spirotrichea;o__Tintinnida,0.0014641196251395628
sk__Eukaryota;k__Viridiplantae;p__Chlorophyta;c__Nephroselmidophyceae,0.0014634502691601044
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Simkaniaceae,0.001461218944013456
sk__Bacteria;k__;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Saprospiraceae;g__Aureispira,0.0014600824808108312
sk__Eukaryota;k__;p__;c__Dinophyceae,0.0014599284211641401
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseobacter,0.0014574739170709653
sk__Bacteria;k__;p__Acidobacteria,0.0014555472549771218
sk__Eukaryota;k__;p__;c__Pelagophyceae;o__Pelagomonadales;f__;g__Pelagomonas,0.0014519758138021692
sk__Eukaryota;k__;p__;c__Dinophyceae;o__Gonyaulacales;f__Gonyaulacaceae,0.0014474485112083413
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae;g__Marinimicrobium,0.0014457298824321085
sk__Eukaryota;k__Metazoa;p__Echinodermata,0.001445708262747985
sk__Bacteria;k__;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales;f__Puniceicoccaceae,0.0014456057681162624
ratio_sk__Bacteria;k__;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales;f__Puniceicoccaceae;g__Coraliomargarita;s__Coraliomargarita_akajimensis_sk__Eukaryota;k__;p__;c__;o__Kinetoplastida;f__Bodonidae;g__Neobodo,0.0014427043037583322
sk__Eukaryota;k__;p__;c__Dinophyceae;o__Peridiniales;f__Protoperidiniaceae;g__Protoperidinium;s__Protoperidinium_divergens,0.0014405940526316398
ratio_sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Maxillopoda;o__Calanoida;f__Centropagidae;g__Sinocalanus;s__Sinocalanus_sinensis_sk__Bacteria;k__;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales;f__Puniceicoccaceae;g__Coraliomargarita;s__Coraliomargarita_akajimensis,0.001440021029364765
sk__Eukaryota;k__Viridiplantae;p__Chlorophyta;c__Mamiellophyceae;o__Mamiellales;f__Mamiellaceae;g__Micromonas,0.0014379227499738169
sk__Eukaryota;k__;p__Bacillariophyta;c__Coscinodiscophyceae;o__Rhizosoleniales;f__Rhizosoleniaceae,0.0014374496730847639
