feature,importance,std
species_Collinsella,0.0031109396060082905,0.018066326755843815
order_Fusobacteriia,0.0030892947262679835,0.019499832173097833
species_Mobiluncus,0.003075893284709468,0.018009830268533197
family_Veillonellales,0.0030733539895887877,0.018647982199428117
species_Staphylococcus,0.003062362606945209,0.017646994104901097
species_Subdoligranulum,0.0030598008401663238,0.018685865459956052
genus_Micrococcaceae,0.0030331828863016347,0.017033668431725067
family_Aeromonadales,0.0030257580601422513,0.018519440210782983
genus_Akkermansiaceae,0.0030253315447449796,0.01814397501616603
species_Anaerococcus,0.0029892859149140165,0.016879289220759118
species_Lysobacter,0.0029781050823498626,0.016229526236385957
genus_Veillonellaceae,0.002964701699299822,0.017807039771379374
species_Lactobacillus,0.0029521547610869368,0.017410454239832344
family_Corynebacteriales,0.0029456166673868297,0.01827856031672272
genus_Coriobacteriaceae,0.002910322498846497,0.01932222290409761
species_Erysipelatoclostridium,0.0028840101713646007,0.01790573658353255
species_Dialister,0.002845781904534586,0.016358412649732295
species_Agathobacter,0.0028169353635616474,0.017446042339524712
species_Murdochiella,0.002815623729252343,0.017671310495666743
species_Peptococcus,0.002749878136960767,0.01704159670367401
genus_Sutterellaceae,0.002743630397294083,0.015860610831142045
species_Flavonifractor,0.0027214981957177278,0.016876833106396708
species_Odoribacter,0.0027195339837481343,0.017183720375366952
family_Lactobacillales,0.00270440574171599,0.01638332443283877
species_Granulicatella,0.002695034576273478,0.016239700039506127
species_Gemella,0.0026947609044559815,0.016916492192395802
family_Desulfovibrionales,0.0026818088013299698,0.01574041052075731
genus_Phyllobacteriaceae,0.0026706564476537483,0.01785351054841941
family_Fusobacteriales,0.0026487099067304693,0.01742595907183359
species_Sellimonas,0.002642930740695919,0.0165747975101674
species_Tidjanibacter,0.0026340333168786193,0.017624593861452917
genus_Corynebacteriaceae,0.0026338718044778614,0.015813437705921814
family_Desulfobacterales,0.0026295048286225464,0.015494309894882385
genus_Odoribacteraceae,0.002602687619375513,0.016742521974999033
species_Sutterella,0.0025870095402582447,0.014585499023963135
species_Bilophila,0.002537566795339797,0.01520469415598451
species_Halocella,0.002523109933229445,0.015426991871409453
phylum_Unknown,0.002499155368426867,0.015800381940646827
species_Coprobacter,0.0024878258150600858,0.015503137759356394
richness_order,0.0024681992163329875,0.016100480925487427
species_Intestinibacter,0.0024334150090005936,0.015357044718141772
genus_Atopobiaceae,0.0024237359518746566,0.017016356224377572
species_Faecalitalea,0.00237628871756875,0.014838096378431366
genus_Peptostreptococcaceae,0.00227212531620842,0.015617161573382202
genus_Muribaculaceae,0.0022069737307144777,0.014206787987950198
species_Ureaplasma,0.0021600501461797868,0.015131923087733546
shannon_diversity_phylum,0.002159889089273614,0.014168368229495729
species_Rothia,0.002148952337221003,0.01475454059003003
evenness_phylum,0.0021272660769687795,0.013567345341609742
family_Bacillales,0.002118385868644363,0.014341458819496685
species_Intestinimonas,0.002105980128229978,0.014322252935401287
species_Levyella,0.0020515025951750973,0.014242146515049769
order_Unknown,0.001969654935298279,0.013919736897652359
class_Unknown,0.001954031080071639,0.013041316876449303
family_Pasteurellales,0.0019199856355883412,0.013673778853209414
richness_class,0.0017534895710222527,0.012551733812939773
richness_phylum,0.0006028140110885457,0.0074962936493816945
kingdom_Bacteria,0.0,0.0
richness_kingdom,0.0,0.0
