sample_id	biosample	collection_date	environment_biome	environment_feature	environment_material	host_tax_id	host_scientific_name	geographic_location_(longitude)	geographic_location_(country_and/or_sea,region)	environment_(biome)	environment_(feature)	environment_(material)	altitude	depth	elevation	host_common_name	geographic_location_(latitude)	instrument_model
ERS339436	SAMEA2171496	2012-08-17	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Euphractus sexcinctus	-84.5	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	482.0	Six-banded armadillo	39.167	unspecified
ERS339437	SAMEA2171497	2012-08-16	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Chaetophractus vellerosus	-84.5	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	482.0	Screaming hairy armadillo	39.167	unspecified
ERS339438	SAMEA2171498	2012-04-07	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Manis pentadactyla	12.417	GAZ:Germany	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	361.0	Chinese pangolin	51.333	unspecified
ERS339439	SAMEA2171499	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant anteater	-18.12126	unspecified
ERS339440	SAMEA2171500	2012-06-23	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Orycteropus afer	0.891874	GAZ:United Kingdom	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	16.0	Aardvark	51.89592	unspecified
ERS339441	SAMEA2171501	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant anteater	-18.12126	unspecified
ERS339442	SAMEA2171502	2012-08-14	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Orycteropus afer	-84.5	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	482.0	Aardvark	39.167	unspecified
ERS339443	SAMEA2171503	2012-08-16	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Tolypeutes matacus	-84.5	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	482.0	Southern three-banded armadillo	39.167	unspecified
ERS339444	SAMEA2171504	2012-06-24	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Orycteropus afer	0.891874	GAZ:United Kingdom	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	16.0	Aardvark	51.89592	unspecified
ERS339445	SAMEA2171505	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant anteater	-18.12126	unspecified
ERS339446	SAMEA2171506	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant anteater	-18.12126	unspecified
ERS339447	SAMEA2171507	2012-06-23	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Orycteropus afer	0.891874	GAZ:United Kingdom	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	16.0	Aardvark	51.89592	unspecified
ERS339448	SAMEA2171508	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Priodontes maximus	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant armadillo	-18.12126	unspecified
ERS339449	SAMEA2171509	2012-10-03	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Dasypus novemcinctus	-80.666664	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	3.0	Nine-banded armadillo	28.516666	unspecified
ERS339450	SAMEA2171510	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant anteater	-18.12126	unspecified
ERS339451	SAMEA2171511	2012-03-08	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Choloepus didactylus	-117.07	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	72.0	Linnaeus two-toed Sloth	32.78	unspecified
ERS339452	SAMEA2171512	2012-03-08	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Melursus ursinus inornatus	-117.07	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	72.0	Sri Lankan sloth bear	32.78	unspecified
ERS339453	SAMEA2171513	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant anteater	-18.12126	unspecified
ERS339454	SAMEA2171514	2012-06-23	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Orycteropus afer	0.891874	GAZ:United Kingdom	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	16.0	Aardvark	51.89592	unspecified
ERS339455	SAMEA2171515	2012-10-03	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Dasypus novemcinctus	-80.666664	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	3.0	Nine-banded armadillo	28.516666	unspecified
ERS339456	SAMEA2171516	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant anteater	-18.12126	unspecified
ERS339457	SAMEA2171517	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Priodontes maximus	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant armadillo	-18.12126	unspecified
ERS339458	SAMEA2171518	2012-10-03	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Dasypus novemcinctus	-80.666664	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	3.0	Nine-banded armadillo	28.516666	unspecified
