OTU_ID	b'ERR328037'
b'187006'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Erysipelotrichia';b'o__Erysipelotrichales';b'f__Erysipelotrichaceae';b'g__Turicibacter';b''	12.0
b'127256'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Negativicutes';b'';b'';b'';b''	9.0
b'242610'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Negativicutes';b'o__Acidaminococcales';b'f__Acidaminococcaceae';b'g__Phascolarctobacterium';b''	65.0
b'140705'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Negativicutes';b'o__Selenomonadales';b'';b'';b''	1.0
b'35971'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Negativicutes';b'o__Selenomonadales';b'f__Selenomonadaceae';b'';b''	7.0
b'95299'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Negativicutes';b'o__Selenomonadales';b'f__Selenomonadaceae';b'g__Anaerovibrio';b''	101.0
b'44679'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Negativicutes';b'o__Selenomonadales';b'f__Selenomonadaceae';b'g__Mitsuokella';b''	31.0
b'238550'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Negativicutes';b'o__Selenomonadales';b'f__Sporomusaceae';b'';b''	4.0
b'184191'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Negativicutes';b'o__Veillonellales';b'f__Veillonellaceae';b'';b''	17.0
b'243353'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Negativicutes';b'o__Veillonellales';b'f__Veillonellaceae';b'g__Allisonella';b''	26.0
b'208117'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Negativicutes';b'o__Veillonellales';b'f__Veillonellaceae';b'g__Dialister';b''	916.0
b'225355'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Negativicutes';b'o__Veillonellales';b'f__Veillonellaceae';b'g__Megasphaera';b''	1.0
b'21282'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'';b'';b'';b'';b''	226.0
b'171064'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Alphaproteobacteria';b'';b'';b'';b''	5.0
b'238195'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Alphaproteobacteria';b'o__Caulobacterales';b'f__Caulobacteraceae';b'g__Brevundimonas';b''	1.0
b'57440'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Alphaproteobacteria';b'o__Rhizobiales';b'';b'';b''	1.0
b'199426'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Alphaproteobacteria';b'o__Rhizobiales';b'f__Bradyrhizobiaceae';b'';b''	1.0
b'191749'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Alphaproteobacteria';b'o__Rhodobacterales';b'';b'';b''	2.0
b'206672'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Alphaproteobacteria';b'o__Rhodobacterales';b'f__Rhodobacteraceae';b'';b''	3.0
b'26971'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Alphaproteobacteria';b'o__Rhodobacterales';b'f__Rhodobacteraceae';b'g__Paracoccus';b''	3.0
b'58120'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Alphaproteobacteria';b'o__Rhodospirillales';b'';b'';b''	8.0
b'92333'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Alphaproteobacteria';b'o__Sphingomonadales';b'f__Sphingomonadaceae';b'';b''	1.0
b'57193'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Alphaproteobacteria';b'o__Sphingomonadales';b'f__Sphingomonadaceae';b'g__Rhizorhapis';b''	2.0
b'86908'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Betaproteobacteria';b'';b'';b'';b''	5.0
b'110339'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Betaproteobacteria';b'o__Burkholderiales';b'';b'';b''	16.0
b'127344'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Betaproteobacteria';b'o__Burkholderiales';b'f__Burkholderiaceae';b'';b''	13.0
b'190762'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Betaproteobacteria';b'o__Burkholderiales';b'f__Oxalobacteraceae';b'';b''	1.0
b'140152'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Betaproteobacteria';b'o__Burkholderiales';b'f__Sutterellaceae';b'';b''	1.0
b'170114'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Betaproteobacteria';b'o__Burkholderiales';b'f__Sutterellaceae';b'g__Sutterella';b''	84.0
b'232020'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Betaproteobacteria';b'o__Rhodocyclales';b'';b'';b''	1.0
b'85618'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Deltaproteobacteria';b'o__Desulfovibrionales';b'';b'';b''	3.0
b'79081'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Deltaproteobacteria';b'o__Desulfovibrionales';b'f__Desulfovibrionaceae';b'';b''	75.0
b'7451'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Deltaproteobacteria';b'o__Desulfovibrionales';b'f__Desulfovibrionaceae';b'g__Desulfovibrio';b''	19.0
